time,split,epoch,step,metric,value
1759764741.131,train,1,1,ctc_loss,2.4090311527252197
1759764743.214,train,1,2,ctc_loss,4.515488624572754
1759764745.245,train,1,3,ctc_loss,2.350217819213867
1759764747.268,train,1,4,ctc_loss,2.0532450675964355
1759764749.275,train,1,5,ctc_loss,2.0342772006988525
1759764751.290,train,1,6,ctc_loss,1.7986178398132324
1759764753.324,train,1,7,ctc_loss,1.5654621124267578
1759764755.329,train,1,8,ctc_loss,1.4837312698364258
1759764757.290,train,1,9,ctc_loss,1.5625214576721191
1759764759.222,train,1,10,ctc_loss,1.4864928722381592
1759764761.150,train,1,11,ctc_loss,1.4399855136871338
1759764763.066,train,1,12,ctc_loss,1.423433542251587
1759764764.971,train,1,13,ctc_loss,1.3771991729736328
1759764766.921,train,1,14,ctc_loss,1.3506865501403809
1759764769.162,train,1,15,ctc_loss,1.3334696292877197
1759764770.967,train,1,16,ctc_loss,1.3251901865005493
1759764804.044,val,1,16,ctc_loss,1.267691731452942
1759764804.044,val,1,16,cer,0.7673736359864456
1759764808.038,train,2,17,ctc_loss,1.3022440671920776
1759764810.076,train,2,18,ctc_loss,1.2840890884399414
1759764812.177,train,2,19,ctc_loss,1.2704037427902222
1759764814.200,train,2,20,ctc_loss,1.28054940700531
1759764816.193,train,2,21,ctc_loss,1.2628045082092285
1759764818.287,train,2,22,ctc_loss,1.2364572286605835
1759764820.328,train,2,23,ctc_loss,1.247429609298706
1759764822.377,train,2,24,ctc_loss,1.2394484281539917
1759764824.309,train,2,25,ctc_loss,1.2201666831970215
1759764826.214,train,2,26,ctc_loss,1.2002627849578857
1759764828.131,train,2,27,ctc_loss,1.196894884109497
1759764830.022,train,2,28,ctc_loss,1.190220594406128
1759764832.064,train,2,29,ctc_loss,1.1903040409088135
1759764833.992,train,2,30,ctc_loss,1.1811920404434204
1759764836.022,train,2,31,ctc_loss,1.1656113862991333
1759764837.825,train,2,32,ctc_loss,1.1510709524154663
1759764870.974,val,2,32,ctc_loss,1.1101129055023193
1759764870.974,val,2,32,cer,0.6443625666775157
1759764875.199,train,3,33,ctc_loss,1.1480804681777954
1759764877.303,train,3,34,ctc_loss,1.146073579788208
1759764879.428,train,3,35,ctc_loss,1.146667718887329
1759764881.455,train,3,36,ctc_loss,1.1239458322525024
1759764883.491,train,3,37,ctc_loss,1.1184496879577637
1759764885.555,train,3,38,ctc_loss,1.1256494522094727
1759764887.585,train,3,39,ctc_loss,1.1282933950424194
1759764889.627,train,3,40,ctc_loss,1.0883660316467285
1759764891.573,train,3,41,ctc_loss,1.108748197555542
1759764893.515,train,3,42,ctc_loss,1.088334560394287
1759764895.454,train,3,43,ctc_loss,1.0897482633590698
1759764897.443,train,3,44,ctc_loss,1.0903093814849854
1759764899.540,train,3,45,ctc_loss,1.0750107765197754
1759764901.503,train,3,46,ctc_loss,1.0733110904693604
1759764903.434,train,3,47,ctc_loss,1.0797991752624512
1759764905.510,train,3,48,ctc_loss,1.0706113576889038
1759764938.175,val,3,48,ctc_loss,1.0031651556491852
1759764938.175,val,3,48,cer,0.5748608064159484
1759764942.196,train,4,49,ctc_loss,1.0594907999038696
1759764944.242,train,4,50,ctc_loss,1.0556135177612305
1759764946.324,train,4,51,ctc_loss,1.0412554740905762
1759764948.391,train,4,52,ctc_loss,1.0347168445587158
1759764950.402,train,4,53,ctc_loss,1.044309377670288
1759764952.461,train,4,54,ctc_loss,1.0411747694015503
1759764954.527,train,4,55,ctc_loss,1.0437647104263306
1759764956.615,train,4,56,ctc_loss,1.0279874801635742
1759764958.675,train,4,57,ctc_loss,1.022078275680542
1759764960.614,train,4,58,ctc_loss,1.0194470882415771
1759764962.602,train,4,59,ctc_loss,1.0231927633285522
1759764964.645,train,4,60,ctc_loss,1.0105570554733276
1759764966.641,train,4,61,ctc_loss,1.0351635217666626
1759764968.618,train,4,62,ctc_loss,1.0009880065917969
1759764970.561,train,4,63,ctc_loss,1.0002548694610596
1759764972.588,train,4,64,ctc_loss,1.0100017786026
1759765005.233,val,4,64,ctc_loss,0.9455037713050842
1759765005.233,val,4,64,cer,0.5006605808693775
1759765009.388,train,5,65,ctc_loss,0.9988416433334351
1759765011.424,train,5,66,ctc_loss,1.0036317110061646
1759765013.460,train,5,67,ctc_loss,0.9737768173217773
1759765015.521,train,5,68,ctc_loss,0.9814478158950806
1759765017.592,train,5,69,ctc_loss,0.9636582732200623
1759765019.772,train,5,70,ctc_loss,0.9828514456748962
1759765021.830,train,5,71,ctc_loss,0.9424970149993896
1759765023.863,train,5,72,ctc_loss,0.9666710495948792
1759765025.805,train,5,73,ctc_loss,0.9635835886001587
1759765027.742,train,5,74,ctc_loss,0.9431742429733276
1759765030.075,train,5,75,ctc_loss,0.9724454879760742
1759765032.041,train,5,76,ctc_loss,0.9507504105567932
1759765034.022,train,5,77,ctc_loss,0.9570251703262329
1759765035.974,train,5,78,ctc_loss,0.9740586280822754
1759765038.145,train,5,79,ctc_loss,0.9468715786933899
1759765039.952,train,5,80,ctc_loss,0.9328864216804504
1759765072.686,val,5,80,ctc_loss,0.8919881880283356
1759765072.686,val,5,80,cer,0.442729183526382
1759765868.623,train,1,1,ctc_loss,2.4090311527252197
1759765870.620,train,1,2,ctc_loss,4.515488624572754
1759765872.641,train,1,3,ctc_loss,2.350217819213867
1759765874.657,train,1,4,ctc_loss,2.0532450675964355
1759765876.747,train,1,5,ctc_loss,2.0342772006988525
1759765878.823,train,1,6,ctc_loss,1.7986178398132324
1759765880.869,train,1,7,ctc_loss,1.5654621124267578
1759765882.890,train,1,8,ctc_loss,1.4837312698364258
1759765884.789,train,1,9,ctc_loss,1.5625214576721191
1759765886.719,train,1,10,ctc_loss,1.4864928722381592
1759765888.736,train,1,11,ctc_loss,1.4399855136871338
1759765890.668,train,1,12,ctc_loss,1.423433542251587
1759765892.736,train,1,13,ctc_loss,1.3771991729736328
1759765894.662,train,1,14,ctc_loss,1.3506865501403809
1759765896.551,train,1,15,ctc_loss,1.3334696292877197
1759765898.350,train,1,16,ctc_loss,1.3251901865005493
1759765931.191,val,1,16,ctc_loss,1.267691731452942
1759765931.191,val,1,16,cer,0.7673736359864456
1759765935.180,train,2,17,ctc_loss,1.3022440671920776
1759765937.198,train,2,18,ctc_loss,1.2840890884399414
1759765939.255,train,2,19,ctc_loss,1.2704037427902222
1759765941.344,train,2,20,ctc_loss,1.28054940700531
1759765943.366,train,2,21,ctc_loss,1.2628045082092285
1759765945.502,train,2,22,ctc_loss,1.2364572286605835
1759765947.526,train,2,23,ctc_loss,1.247429609298706
1759765949.569,train,2,24,ctc_loss,1.2394484281539917
1759765951.514,train,2,25,ctc_loss,1.2201666831970215
1759765953.424,train,2,26,ctc_loss,1.2002627849578857
1759765955.359,train,2,27,ctc_loss,1.196894884109497
1759765957.281,train,2,28,ctc_loss,1.190220594406128
1759765959.206,train,2,29,ctc_loss,1.1903040409088135
1759765961.135,train,2,30,ctc_loss,1.1811920404434204
1759765963.399,train,2,31,ctc_loss,1.1656113862991333
1759765965.233,train,2,32,ctc_loss,1.1510709524154663
1759765998.168,val,2,32,ctc_loss,1.1101129055023193
1759765998.168,val,2,32,cer,0.6443625666775157
1759766002.404,train,3,33,ctc_loss,1.1480804681777954
1759766004.468,train,3,34,ctc_loss,1.146073579788208
1759766006.687,train,3,35,ctc_loss,1.146667718887329
1759766008.912,train,3,36,ctc_loss,1.1239458322525024
1759766010.992,train,3,37,ctc_loss,1.1184496879577637
1759766013.058,train,3,38,ctc_loss,1.1256494522094727
1759766015.079,train,3,39,ctc_loss,1.1282933950424194
1759766017.206,train,3,40,ctc_loss,1.0883660316467285
1759766019.152,train,3,41,ctc_loss,1.108748197555542
1759766021.099,train,3,42,ctc_loss,1.088334560394287
1759766023.406,train,3,43,ctc_loss,1.0897482633590698
1759766025.355,train,3,44,ctc_loss,1.0903093814849854
1759766027.619,train,3,45,ctc_loss,1.0750107765197754
1759766029.606,train,3,46,ctc_loss,1.0733110904693604
1759766031.540,train,3,47,ctc_loss,1.0797991752624512
1759766033.373,train,3,48,ctc_loss,1.0706113576889038
1759766066.633,val,3,48,ctc_loss,1.0031651556491852
1759766066.633,val,3,48,cer,0.5748608064159484
1759766070.622,train,4,49,ctc_loss,1.0594907999038696
1759766072.686,train,4,50,ctc_loss,1.0556135177612305
1759766074.710,train,4,51,ctc_loss,1.0412554740905762
1759766076.733,train,4,52,ctc_loss,1.0347168445587158
1759766078.842,train,4,53,ctc_loss,1.044309377670288
1759766080.915,train,4,54,ctc_loss,1.0411747694015503
1759766082.963,train,4,55,ctc_loss,1.0437647104263306
1759766085.305,train,4,56,ctc_loss,1.0279874801635742
1759766087.263,train,4,57,ctc_loss,1.022078275680542
1759766089.309,train,4,58,ctc_loss,1.0194470882415771
1759766091.263,train,4,59,ctc_loss,1.0231927633285522
1759766093.221,train,4,60,ctc_loss,1.0105570554733276
1759766095.164,train,4,61,ctc_loss,1.0351635217666626
1759766097.114,train,4,62,ctc_loss,1.0009880065917969
1759766099.103,train,4,63,ctc_loss,1.0002548694610596
1759766100.930,train,4,64,ctc_loss,1.0100017786026
1759766134.521,val,4,64,ctc_loss,0.9455037713050842
1759766134.521,val,4,64,cer,0.5006605808693775
1759766138.631,train,5,65,ctc_loss,0.9988416433334351
1759766140.654,train,5,66,ctc_loss,1.0036317110061646
1759766142.714,train,5,67,ctc_loss,0.9737768173217773
1759766144.761,train,5,68,ctc_loss,0.9814478158950806
1759766146.798,train,5,69,ctc_loss,0.9636582732200623
1759766148.863,train,5,70,ctc_loss,0.9828514456748962
1759766151.041,train,5,71,ctc_loss,0.9424970149993896
1759766153.088,train,5,72,ctc_loss,0.9666710495948792
1759766155.036,train,5,73,ctc_loss,0.9635835886001587
1759766156.974,train,5,74,ctc_loss,0.9431742429733276
1759766158.897,train,5,75,ctc_loss,0.9724454879760742
1759766160.889,train,5,76,ctc_loss,0.9507504105567932
1759766162.861,train,5,77,ctc_loss,0.9570251703262329
1759766164.892,train,5,78,ctc_loss,0.9740586280822754
1759766166.919,train,5,79,ctc_loss,0.9468715786933899
1759766168.762,train,5,80,ctc_loss,0.9328864216804504
1759766201.785,val,5,80,ctc_loss,0.8919881880283356
1759766201.785,val,5,80,cer,0.442729183526382
1759766205.877,train,6,81,ctc_loss,0.9183390140533447
1759766207.945,train,6,82,ctc_loss,0.9352708458900452
1759766209.964,train,6,83,ctc_loss,0.9298232793807983
1759766211.979,train,6,84,ctc_loss,0.9378957152366638
1759766214.102,train,6,85,ctc_loss,0.9262803792953491
1759766216.136,train,6,86,ctc_loss,0.9353421926498413
1759766218.178,train,6,87,ctc_loss,0.9162253737449646
1759766220.184,train,6,88,ctc_loss,0.9252051115036011
1759766222.271,train,6,89,ctc_loss,0.907700777053833
1759766224.201,train,6,90,ctc_loss,0.9052125811576843
1759766226.168,train,6,91,ctc_loss,0.8920520544052124
1759766228.508,train,6,92,ctc_loss,0.9161965847015381
1759766230.491,train,6,93,ctc_loss,0.9006807804107666
1759766232.502,train,6,94,ctc_loss,0.8958979845046997
1759766234.506,train,6,95,ctc_loss,0.8937760591506958
1759766236.385,train,6,96,ctc_loss,0.9015263319015503
1759766270.551,val,6,96,ctc_loss,0.8464200794696808
1759766270.551,val,6,96,cer,0.3873961793504051
1759766274.630,train,7,97,ctc_loss,0.8889058232307434
1759766276.608,train,7,98,ctc_loss,0.9068800210952759
1759766278.635,train,7,99,ctc_loss,0.8794296383857727
1759766280.692,train,7,100,ctc_loss,0.8766360282897949
1759766282.727,train,7,101,ctc_loss,0.8859384059906006
1759766284.773,train,7,102,ctc_loss,0.8717097043991089
1759766286.821,train,7,103,ctc_loss,0.8756192922592163
1759766289.077,train,7,104,ctc_loss,0.8737654685974121
1759766291.085,train,7,105,ctc_loss,0.8616399765014648
1759766293.050,train,7,106,ctc_loss,0.89336758852005
1759766295.009,train,7,107,ctc_loss,0.8892812728881836
1759766297.391,train,7,108,ctc_loss,0.8493407964706421
1759766299.436,train,7,109,ctc_loss,0.872382402420044
1759766301.342,train,7,110,ctc_loss,0.8680287599563599
1759766303.308,train,7,111,ctc_loss,0.8555827140808105
